scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
high,3001,point_forecast,"{""margin"": 0.0}",10,2,6.231402509999498,0.7839437332670249,0.10066196276398677,0.07460981004101219,0.02289760946102393,0.12684614184082585,0.8994327701779555,0.7083948957656031,1.0,0.29160510423439684,0.783958882962779,3.4073362370718234,10.0,11069244.985151988,0.9967270141621823,0.8488641976563158,15595552.022643685,2.395643877007842,2.5517458999274822,2000,19000,
high,3001,proposed,{},10,2,8.329120513000817,0.7839437332670249,0.07414155994040848,0.05271759376257461,0.010192108518123983,0.09567409788080851,0.9260743449238084,0.7287704540551774,1.0,0.2712295459448226,0.783958882962779,3.5206196225274,10.0,10947025.569719337,0.9978661200106171,0.8793736571256372,12493268.081062868,3.4681964750038787,3.715642399720309,2000,19000,"{""decisions"": 2000, ""scored_horizons"": 1998, ""delta_mean_abs"": 0.0}"
high,3001,oracle,{},10,2,1.3520911439991323,0.7839437332670249,0.09009047231431928,0.0599166145481993,2.3038701869964893e-05,0.12041724429314363,0.910207813557445,0.7172036211734718,1.0,0.2827963788265282,0.783958882962779,3.1269777323155212,10.0,10301773.93859606,0.9958707219098545,0.8553671875577412,9562192.42943928,0.061839636002332554,0.07248875012919598,2000,19000,
high,3002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",10,2,1.339971590999994,0.757253067969093,0.04270491665207303,0.06416379578858473,0.10547130594161963,0.020681022798710133,0.9569335017211158,0.7212297706386603,1.0,0.27877022936133966,0.7565027471115159,2.180726366271793,10.0,6009720.463750344,0.9979964205380095,0.8847188887247142,12386212.46384598,0.031782998498783854,0.03558485022949753,2000,19000,
high,3002,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",10,2,1.3597449090002556,0.757253067969093,0.09733045962955751,0.0804481154050145,0.047950257477487074,0.1146573178886469,0.9020497748609357,0.6803863721462882,1.0,0.31961362785371183,0.7565027471115159,3.530253699846166,10.0,10627864.029037608,0.9977764958492864,0.8289216985297534,19135980.709479325,0.06447246650941452,0.07619954958499875,2000,19000,
high,3002,point_forecast,"{""margin"": 0.0}",10,2,6.1790029659996435,0.757253067969093,0.07239586464675987,0.05475414219088619,0.020794510617068256,0.09050209565197398,0.9270227539134783,0.699392550348608,1.0,0.30060744965139197,0.7565027471115159,3.153657125880388,10.0,9439762.714592675,0.9978690279294309,0.8577543050493446,18175444.248501614,2.393138512507903,2.46170210029959,2000,19000,
high,3002,proposed,{},10,2,7.8370482170003015,0.757253067969093,0.04750797089761741,0.03405029722360178,0.008144797295612674,0.06131998664290468,0.9519328550425099,0.7183720157524082,1.0,0.28162798424759183,0.7565027471115159,3.2050944626103792,10.0,9190220.201827306,0.9987353121000897,0.8924584442632507,17605506.609862626,3.2209065439960796,3.509798149934795,2000,19000,"{""decisions"": 2000, ""scored_horizons"": 1998, ""delta_mean_abs"": 0.0}"
high,3002,oracle,{},10,2,1.355007316999945,0.757253067969093,0.060065644774743146,0.039543466052451785,3.9067871137935995e-05,0.08112817478594296,0.9393035921871498,0.7091470293773199,1.0,0.29085297062268006,0.7565027471115159,2.771000568448213,10.0,8391681.209563505,0.9975372052901154,0.8677404713399857,18361027.806056943,0.06202396750722983,0.07257095066961482,2000,19000,
high,3000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.273488372000429,0.788676893893951,0.052395268735496076,0.07878623234066638,0.13583142064676854,0.02728722783824124,0.9474437858739689,0.7477181934164704,1.0,0.2522818065835296,0.7918338817667788,3.07376742985898,10.0,8622358.973096667,0.9967127477008654,0.8568233610393723,12347756.027929146,0.03222688398363971,0.037759299584649846,1000,19000,
high,3000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.2724157849997937,0.788676893893951,0.12279796337731633,0.09882879266090465,0.047018412505216114,0.14560194005754049,0.876707680052845,0.6949724716393763,1.0,0.3050275283606238,0.7918338817667788,4.353721652768833,10.0,13427587.650386063,0.9964607131709876,0.8175774945630557,22221246.63621743,0.08184249200439808,0.09530395027468326,1000,19000,
high,3000,point_forecast,"{""margin"": 0.0}",20,2,3.4554069590003564,0.788676893893951,0.11480496627237526,0.08725222784680163,0.02769581394125936,0.1410183055642053,0.8846944023031736,0.7014447460260904,1.0,0.29855525397390953,0.7918338817667788,4.242130786697172,10.0,13135025.165943809,0.9955930561665882,0.8231182151119771,22085566.970996235,2.195669743007784,2.332410999952117,1000,19000,
high,3000,proposed,{},20,2,4.74796917599997,0.788676893893951,0.08646388223581371,0.06810122388736577,0.028409558249108676,0.10393389142884006,0.9130033040691276,0.7238233378587107,1.0,0.27617666214128933,0.7918338817667788,4.2498357331559165,10.0,12708993.79883353,0.9980361164976758,0.8663098562983846,22500063.48759015,3.446196772018993,3.6331430002064735,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
high,3000,oracle,{},20,2,1.2645853129997704,0.788676893893951,0.0867921567522364,0.059354284665876576,4.6159229391995846e-05,0.11289621360990276,0.9127547030533748,0.7234930518203851,1.0,0.2765069481796149,0.7918338817667788,3.6711288551736265,10.0,11426303.807256527,0.9959125008454406,0.859797671042697,19017586.480117165,0.07499340800586651,0.08731790017009189,1000,19000,
high,3001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.257000457999311,0.7839437332670249,0.06264732145715124,0.09062908806060273,0.14617147423370536,0.03452374965784413,0.9371888957234185,0.7326620692224405,1.0,0.2673379307775595,0.783958882962779,2.876466406988586,10.0,8332433.579720642,0.9962989578376138,0.8513069532250662,13634357.958661193,0.031999113006349944,0.03646154959824344,1000,19000,
high,3001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.264384491999408,0.7839437332670249,0.13352426135437043,0.10470721038495182,0.04750682714982029,0.1624873505498457,0.8665033360573766,0.6831418480345547,1.0,0.3168581519654453,0.783958882962779,4.1304536914188335,10.0,13254287.588190423,0.9958644422183879,0.8059058976779021,16596927.12245277,0.0775990689999162,0.09044934940902749,1000,19000,
high,3001,point_forecast,"{""margin"": 0.0}",20,2,3.500473594000141,0.7839437332670249,0.12484457503107166,0.09306497386122574,0.029984078876380785,0.15678522795408129,0.8752672598382399,0.6908329581734114,1.0,0.3091670418265886,0.783958882962779,4.019634284309962,10.0,12943862.202305738,0.9951972828042372,0.8111624261975102,15027636.376386125,2.223704491987519,2.3450747004062578,1000,19000,
