scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
high,2000,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 60}",20,2,1.2327121789994635,0.7940166564426582,0.08487006045304434,0.10149407468127274,0.13858711467967447,0.06935649154548909,0.915578893783168,0.7220507959256027,1.0,0.2779492040743973,0.7884536025841227,3.4399324039364867,10.0,10035187.698056404,0.9984685380202672,0.8527074646958573,7738486.776113985,0.03623081299610931,0.038537999489562935,1000,19000,
high,2001,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 60}",20,2,1.2375433520001025,0.8083775247891877,0.08818003646449787,0.10080000592839031,0.1307123724358113,0.07680921833495359,0.9119072813754255,0.7387293146607025,1.0,0.2612706853392976,0.8136073064543927,3.589498175867232,10.0,11073038.497130485,0.9973493858750053,0.850784800001071,8298068.03052523,0.036716855012855376,0.038917799975024536,1000,19000,
high,2002,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 60}",20,2,1.2540772369993647,0.7869491582973615,0.0776975387591564,0.09864117961207379,0.13682234865373422,0.055353296728693956,0.9223838343235029,0.7244986556353799,1.0,0.2755013443646201,0.7862859102188133,2.9850100945410025,10.0,8611746.183705328,0.9978558726707993,0.8504477267375916,12075718.746869884,0.0365436969905204,0.03859055022985558,1000,19000,
high,2003,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 60}",20,2,1.2473690320002788,0.8088514192022725,0.10184826941496448,0.1172244710527613,0.15199317429018813,0.08761228314417831,0.8986705605078725,0.7321784749491057,1.0,0.26782152505089424,0.8097881135815428,3.3325767445852974,10.0,10868858.264885742,0.9966742640325835,0.8428893662187678,3040408.3619730277,0.036678232000667776,0.03937375017812883,1000,19000,
moderate,2000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.3060928160002732,0.64513853335966,0.03857826564374852,0.03587709390566245,0.029849989383985344,0.04109900541902991,0.9615365825252681,0.6178717490755489,1.0,0.38212825092445113,0.6406185520995997,3.1818163615901764,10.0,7378656.80810964,0.9999229402765794,0.9476935437355264,6018847.977460418,0.0790788869944663,0.09256144935534394,1000,19000,
moderate,2001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.2916561189995264,0.656806738891215,0.0463561511166499,0.04020112707469452,0.025612237970665752,0.051901937829073604,0.9537889087207014,0.6311997154524553,1.0,0.36880028454754465,0.661055936494194,3.4041600510398764,10.0,8384630.417340602,0.9992247257236333,0.8986696225320897,4309703.5670883125,0.07778478898489993,0.0909912995666673,1000,19000,
moderate,2002,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.3377796869999656,0.6393961911166064,0.04282303964926649,0.03881994487790912,0.03152212883778675,0.04709384046514412,0.95738666859488,0.612485084585048,1.0,0.38751491541495203,0.6388573020527858,2.7993626347815996,10.0,6581761.520843001,0.9998546734535739,0.9392248132828038,9480427.558617912,0.08081933198536717,0.10151455016966789,1000,19000,
moderate,2003,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.296126328000355,0.6571917781018464,0.05981582180574839,0.05252526347577115,0.03603983586619609,0.0665657520379844,0.9408233560322979,0.6235193227765181,1.0,0.37648067722348194,0.6579528422850036,3.336437232973088,10.0,8660855.901075572,0.9991673694883523,0.9030145574582457,1915654.7451881373,0.07929797501037683,0.09511769967502913,1000,19000,
high,2000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.277709023999705,0.7940166564426582,0.13132700812563913,0.10627946697079033,0.050391073640328604,0.15470143203648673,0.8693181676430056,0.6889705306870999,1.0,0.31102946931290004,0.7884536025841227,4.309268434575826,10.0,13296585.309258914,0.9967386409784694,0.8310233564813622,8915244.799349012,0.08148771898049745,0.09638839978833857,1000,19000,
high,2001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.280834632000733,0.8083775247891877,0.13745666645818105,0.10916100310954695,0.04209346740143067,0.16295156505620778,0.8625447001919292,0.7055625011311127,1.0,0.2944374988688872,0.8136073064543927,4.48824286865876,10.0,14564003.91445237,0.9938476923671742,0.7580077154934334,10127204.9516037,0.0823173350054276,0.09737344944369396,1000,19000,
