scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,mantissa_bits,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
moderate,3002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2356079290002526,0.615268117724888,9,0.018610973526028498,0.03331874124902282,0.061630623742100134,0.0035159486139398474,0.9813356520126366,0.6025149037511874,1.0,0.39748509624881256,0.6146584820281067,1.796192809060163,9.5,3870626.896207982,0.9991141537854231,0.9273183729236274,3179204.0526093226,0.031470095995246083,0.03634200038504787,1000,19000,
moderate,3002,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.2867598879993238,0.615268117724888,9,0.03176245770562807,0.030036723792894057,0.026714752935599537,0.03353363038764081,0.9677294741702547,0.5938192042074001,1.0,0.4061807957925999,0.6146584820281067,2.768882979220149,10.0,6260153.269698718,0.999807832641816,0.9368779753753769,12341009.883386873,0.07692758300618152,0.09017864995257696,1000,19000,
moderate,3002,point_forecast,"{""margin"": 0.0}",20,2,3.5750385459996323,0.615268117724888,9,0.025382929559899552,0.021398379247040772,0.013728274417397365,0.029472393533554738,0.9740807848324878,0.5981041311517339,1.0,0.4018958688482661,0.6146584820281067,2.488310356067065,10.0,5638532.978845632,0.999787975928084,0.9439578229261086,12902935.497234592,2.2591161309965173,2.3861491999014106,1000,19000,
moderate,3002,proposed,{},20,2,4.369007107000471,0.615268117724888,9,0.014691131722138411,0.013259307909534768,0.010503102597028567,0.016160655617813144,0.9847972133838311,0.6049003404876364,1.0,0.3950996595123636,0.6146584820281067,2.3399961100027906,10.0,5171039.01264068,0.9999393756804568,0.9710306232124554,12579155.582372487,3.076282354995783,3.456310200135704,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.307865402999596,0.8467713972388181,12,0.06377613255847543,0.10292288474339696,0.1875402516334668,0.02653238998209048,0.9360581739311524,0.7921952287336773,1.0,0.2078047712663227,0.8501609310933499,3.2989679693726464,10.0,7432135.22492019,0.9926347673694486,0.803960333783488,10489785.868867723,0.033153371017760946,0.037771049983348334,1000,19000,
moderate,3000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.236659660999976,0.8467713972388181,12,0.1602662643487456,0.12834425750168224,0.05934348439832098,0.19063647232711164,0.8391981508998889,0.7138823612187036,1.0,0.28611763878129637,0.8501609310933499,5.1868149310273175,10.0,12862325.067598155,0.9934120070712456,0.7663201694833159,19379828.966828775,0.07838541997898574,0.08856375025061425,1000,19000,
moderate,3000,point_forecast,"{""margin"": 0.0}",20,2,3.482961876000445,0.8467713972388181,12,0.15420429625959398,0.11711250105162524,0.03693701091395426,0.1894929778313356,0.8452334863602539,0.7191670008388082,1.0,0.28083299916119175,0.8501609310933499,5.159287645733992,10.0,12838492.036119765,0.9917120011054439,0.7696933456727384,19390122.678083375,2.208988226002475,2.3287549501219473,1000,19000,
moderate,3000,proposed,{},20,2,4.590572402999896,0.8467713972388181,12,0.1425562249493948,0.10848226588725826,0.03482995670620215,0.174973774018952,0.8568833347017166,0.7302475432796084,1.0,0.26975245672039155,0.8501609310933499,4.94761840473367,10.0,12324229.36020624,0.9934510104516855,0.7969046672380923,19432730.728596237,3.3384155020112303,3.4894796504431724,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2859351209999659,0.8416895886192837,12,0.07489785805416954,0.1155657233716313,0.19628937146394176,0.034023897292910464,0.9250026893431925,0.774811075432329,1.0,0.22518892456767106,0.8417058542524483,3.143997559283335,10.0,7292440.483856881,0.9922362377293282,0.7984831369664485,11957429.475545151,0.03325540800142335,0.03888835035468218,1000,19000,
moderate,3001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.2493940609992933,0.8416895886192837,12,0.1724422722251034,0.13587828648012645,0.06330063099983153,0.2091915558904478,0.8276217543161922,0.7021000145022672,1.0,0.2978999854977328,0.8417058542524483,5.005739834185866,10.0,12828097.160014467,0.9930261187331001,0.7534294334126339,14132560.890750036,0.07986698698914552,0.09191480021399911,1000,19000,
